disease_name,symptoms,department_name
Cảm cúm,"sốt cao, đau đầu, mệt mỏi, sổ mũi, đau họng, ho khan, đau cơ, ớn lạnh, hắt hơi, nghẹt mũi",Nội khoa
Cảm cúm,"ho khan, nghẹt mũi, đau họng, sổ mũi, đau cơ, hắt hơi, mệt mỏi, sốt cao, ớn lạnh, đau đầu",Nội khoa
Cảm cúm,"mệt mỏi, nghẹt mũi, đau cơ, ho khan, hắt hơi, đau đầu, sốt cao, ớn lạnh, sổ mũi, đau họng",Nội khoa
Cảm cúm,"hắt hơi, đau họng, ớn lạnh, sốt cao, sổ mũi, ho khan, nghẹt mũi",Nội khoa
Cảm cúm,"sổ mũi, nghẹt mũi, đau họng, đau đầu, sốt cao, mệt mỏi, ho khan, hắt hơi, ớn lạnh",Nội khoa
Cảm cúm,"mệt mỏi, đau họng, hắt hơi, ho khan, nghẹt mũi, đau đầu",Nội khoa
Cảm cúm,"sổ mũi, sốt cao, ho khan, hắt hơi, ớn lạnh, đau đầu, nghẹt mũi, đau cơ, mệt mỏi, đau họng",Nội khoa
Cảm cúm,"hắt hơi, nghẹt mũi, sổ mũi, đau họng, ho khan, ớn lạnh",Nội khoa
Cảm cúm,"sổ mũi, ớn lạnh, hắt hơi, sốt cao, mệt mỏi, nghẹt mũi, đau cơ, đau họng, đau đầu",Nội khoa
Cảm cúm,"đau cơ, mệt mỏi, đau họng, ớn lạnh, sốt cao, hắt hơi, sổ mũi, ho khan, đau đầu, nghẹt mũi",Nội khoa
Cảm lạnh thường,"sổ mũi, hắt hơi, đau họng, ho khan, nghẹt mũi, đau đầu, mệt mỏi, rát họng",Nội khoa
Cảm lạnh thường,"mệt mỏi, sổ mũi, nghẹt mũi, hắt hơi, đau đầu, đau họng, rát họng, ho khan",Nội khoa
Cảm lạnh thường,"đau họng, nghẹt mũi, hắt hơi, ho khan, đau đầu, sổ mũi, mệt mỏi, rát họng",Nội khoa
Cảm lạnh thường,"nghẹt mũi, rát họng, ho khan, đau đầu, mệt mỏi, đau họng",Nội khoa
Cảm lạnh thường,"hắt hơi, mệt mỏi, đau đầu, nghẹt mũi, rát họng, sổ mũi",Nội khoa
Cảm lạnh thường,"rát họng, sổ mũi, hắt hơi, đau họng, nghẹt mũi, ho khan",Nội khoa
Cảm lạnh thường,"mệt mỏi, sổ mũi, nghẹt mũi, đau họng, ho khan, hắt hơi, rát họng",Nội khoa
Cảm lạnh thường,"sổ mũi, hắt hơi, ho khan, mệt mỏi, rát họng, đau đầu",Nội khoa
Cảm lạnh thường,"mệt mỏi, sổ mũi, nghẹt mũi, rát họng",Nội khoa
Cảm lạnh thường,"rát họng, hắt hơi, ho khan, đau đầu",Nội khoa
