disease_name,symptoms,department_name
Cảm cúm,"sốt, đau đầu, mệt mỏi, đau cơ, sổ mũi, đau họng, ớn lạnh",Nội khoa
Cảm cúm,"sốt nhẹ, nhức đầu, mệt mỏi, sổ mũi, hắt hơi, đau họng",Nội khoa
Cảm cúm,"ớn lạnh, sốt, đau cơ, nghẹt mũi, đau đầu, mệt mỏi",Nội khoa
Cảm cúm,"sốt cao, đau đầu, đau họng, sổ mũi, mệt mỏi, chán ăn",Nội khoa
Cảm cúm,"sổ mũi, hắt hơi, đau họng, sốt nhẹ, mệt mỏi",Nội khoa
Sốt xuất huyết Dengue,"sốt cao đột ngột, đau đầu dữ dội, đau sau mắt, đau cơ khớp, phát ban, xuất huyết dưới da",Nội khoa
Sốt xuất huyết Dengue,"sốt cao, đau đầu, đau nhức toàn thân, phát ban đỏ, chảy máu mũi",Nội khoa
Sốt xuất huyết Dengue,"đau đầu, sốt cao, đau sau hốc mắt, buồn nôn, phát ban",Nội khoa
Sốt xuất huyết Dengue,"sốt cao đột ngột, đau cơ, đau khớp, phát ban, mệt mỏi, chán ăn",Nội khoa
Sốt xuất huyết Dengue,"đau đầu dữ dội, sốt, đau sau mắt, xuất huyết, mệt mỏi",Nội khoa
COVID-19,"sốt, ho khan, khó thở, mệt mỏi, mất mùi, mất vị",Nội khoa
COVID-19,"ho khan, sốt, mệt mỏi, đau cơ, nhức đầu, mất mùi",Nội khoa
COVID-19,"khó thở, sốt cao, ho, mệt mỏi, đau họng, mất vị",Nội khoa
COVID-19,"sốt nhẹ, ho, mệt mỏi, mất mùi vị, đau đầu",Nội khoa
COVID-19,"ho khan, sốt, khó thở, đau ngực, mệt mỏi",Nội khoa
Sốt rét,"sốt cao từng cơn, rét run, đổ mồ hôi, đau đầu, mệt mỏi, buồn nôn",Nội khoa
Sốt rét,"sốt cao, ớn lạnh, vã mồ hôi, đau đầu, đau cơ",Nội khoa
Sốt rét,"sốt từng cơn, rét run, đau đầu, mệt mỏi, buồn nôn, nôn",Nội khoa
Sốt rét,"ớn lạnh dữ dội, sốt cao, vã mồ hôi, đau đầu, mệt mỏi",Nội khoa
Sốt rét,"sốt theo chu kỳ, đau cơ, đau đầu, buồn nôn, mệt mỏi",Nội khoa
Tăng huyết áp,"đau đầu, chóng mặt, hồi hộp, nhìn mờ, ù tai, đỏ mặt",Tim mạch
Tăng huyết áp,"đau đầu vùng gáy, chóng mặt, hồi hộp, mệt mỏi",Tim mạch
Tăng huyết áp,"nhức đầu buổi sáng, chóng mặt, hồi hộp, khó ngủ",Tim mạch
Tăng huyết áp,"đau đầu, ù tai, hoa mắt, tim đập nhanh",Tim mạch
Tăng huyết áp,"chóng mặt, nhức đầu, mờ mắt, mệt mỏi, hồi hộp",Tim mạch
Nhồi máu cơ tim,"đau ngực dữ dội, khó thở, đổ mồ hôi, buồn nôn, đau lan vai trái, tay trái tê",Tim mạch
Nhồi máu cơ tim,"đau ngực như bóp nghẹt, khó thở, đổ mồ hôi lạnh, tê tay trái",Tim mạch
Nhồi máu cơ tim,"tức ngực, đau lan hàm, khó thở, buồn nôn, vã mồ hôi",Tim mạch
Nhồi máu cơ tim,"đau ngực dữ dội, khó thở, tay trái tê, lo lắng, đổ mồ hôi",Tim mạch
Nhồi máu cơ tim,"tức ngực, khó thở, đau lan vai, vã mồ hôi, buồn nôn",Tim mạch
Suy tim,"khó thở, phù chân, mệt mỏi, ho về đêm, tim đập nhanh",Tim mạch
Suy tim,"khó thở khi gắng sức, phù hai chân, mệt mỏi, ho khan",Tim mạch
Suy tim,"phù nề hai chân, khó thở, mệt mỏi, ho về đêm",Tim mạch
Suy tim,"tim đập nhanh, khó thở, mệt mỏi, phù chân, không nằm thấp được",Tim mạch
Suy tim,"khó thở, phù chân, mệt mỏi, tim đập loạn, ho",Tim mạch
Rối loạn nhịp tim,"hồi hộp, tim đập loạn, chóng mặt, khó thở, ngất xỉu",Tim mạch
Rối loạn nhịp tim,"tim đập nhanh, hồi hộp, chóng mặt, mệt mỏi",Tim mạch
Rối loạn nhịp tim,"tim đập bất thường, hồi hộp, khó thở, ngất",Tim mạch
Rối loạn nhịp tim,"nhịp tim không đều, hồi hộp, chóng mặt, đau ngực nhẹ",Tim mạch
Rối loạn nhịp tim,"tim đập nhanh đột ngột, hồi hộp, lo lắng, khó thở",Tim mạch
Viêm dạ dày,"đau thượng vị, buồn nôn, ợ chua, chán ăn, đầy hơi",Tiêu hóa
Viêm dạ dày,"đau vùng thượng vị sau ăn, ợ chua, buồn nôn, khó tiêu",Tiêu hóa
Viêm dạ dày,"đau dạ dày, ợ hơi, ợ chua, buồn nôn, chán ăn",Tiêu hóa
Viêm dạ dày,"đau bụng trên, ợ chua, đầy bụng, chán ăn, buồn nôn",Tiêu hóa
Viêm dạ dày,"đau thượng vị, khó tiêu, ợ chua, buồn nôn, mệt mỏi",Tiêu hóa
Loét dạ dày,"đau thượng vị dữ dội sau ăn, ợ chua, buồn nôn, nôn ra máu, phân đen",Tiêu hóa
Loét dạ dày,"đau bụng trên dữ dội, ợ chua nhiều, buồn nôn, nôn, phân đen",Tiêu hóa
Loét dạ dày,"đau vùng dạ dày, ợ chua, buồn nôn, nôn, xuất huyết tiêu hóa",Tiêu hóa
Loét dạ dày,"đau bụng trên, ợ hơi nhiều, ợ chua, đau tăng khi đói",Tiêu hóa
Loét dạ dày,"đau thượng vị, buồn nôn, ợ chua, phân đen, mệt mỏi",Tiêu hóa
Viêm ruột thừa,"đau hạ vị phải dữ dội, sốt, buồn nôn, nôn, chán ăn",Tiêu hóa
Viêm ruột thừa,"đau hố chậu phải, sốt cao, buồn nôn, nôn, không dám đi lại",Tiêu hóa
Viêm ruột thừa,"đau bụng dưới bên phải, sốt, buồn nôn, không muốn ăn",Tiêu hóa
Viêm ruột thừa,"đau bụng phải dưới, sốt nhẹ, buồn nôn, đau tăng khi di chuyển",Tiêu hóa
Viêm ruột thừa,"đau hạ vị phải, sốt, nôn, mệt mỏi, đau liên tục",Tiêu hóa
Tiêu chảy cấp,"tiêu chảy nhiều lần, buồn nôn, nôn, đau bụng quặn, mất nước",Tiêu hóa
Tiêu chảy cấp,"đi ngoài nhiều lần, đau bụng quặn, buồn nôn, mệt mỏi",Tiêu hóa
Tiêu chảy cấp,"tiêu chảy, nôn, đau bụng, sốt, mất nước",Tiêu hóa
Tiêu chảy cấp,"đi lỏng nhiều lần, đau bụng, buồn nôn, mệt, khát nước",Tiêu hóa
Tiêu chảy cấp,"tiêu chảy, đau bụng quặn, buồn nôn, nôn, sốt nhẹ",Tiêu hóa
Xơ gan,"vàng da, cổ trướng, mệt mỏi, sụt cân, phù chân, chán ăn",Tiêu hóa
Xơ gan,"vàng mắt, vàng da, bụng to, phù chân, mệt mỏi nhiều",Tiêu hóa
Xơ gan,"vàng da, bụng to, phù chân, mệt mỏi, chán ăn, sụt cân",Tiêu hóa
Xơ gan,"bụng to, phù nề, vàng da, mệt mỏi, chảy máu tiêu hóa",Tiêu hóa
Xơ gan,"vàng da vàng mắt, cổ trướng, phù nề, mệt mỏi",Tiêu hóa
Viêm phổi,"sốt cao, ho có đờm, khó thở, đau ngực, mệt mỏi, ớn lạnh",Hô hấp
Viêm phổi,"sốt, ho đờm vàng, khó thở, tức ngực, mệt mỏi",Hô hấp
Viêm phổi,"sốt cao ớn lạnh, ho có đờm, khó thở, đau ngực",Hô hấp
Viêm phổi,"ho đờm, sốt, khó thở, mệt mỏi, đau ngực khi thở",Hô hấp
Viêm phổi,"sốt, ho nhiều, khó thở, đau ngực, ớn lạnh",Hô hấp
Hen phế quản,"khó thở từng cơn, ho, thở khò khè, tức ngực, thở nhanh",Hô hấp
Hen phế quản,"thở khò khè, tức ngực, ho khan, khó thở, khi gắng sức",Hô hấp
Hen phế quản,"khó thở, khò khè, ho, tức ngực, thở nông",Hô hấp
Hen phế quản,"cơn khó thở, thở khò khè, tức ngực, ho nhiều",Hô hấp
Hen phế quản,"khó thở khi đêm, thở khò khè, ho khan, ngực tức",Hô hấp
Lao phổi,"ho kéo dài, ho ra máu, sốt chiều, sụt cân, đổ mồ hôi đêm, mệt mỏi",Hô hấp
Lao phổi,"ho lâu ngày, sốt nhẹ chiều tối, sụt cân, ra mồ hôi đêm, mệt",Hô hấp
Lao phổi,"ho kéo dài hơn 3 tuần, sụt cân, sốt nhẹ, mệt mỏi, ra mồ hôi đêm",Hô hấp
Lao phổi,"ho ra máu, sốt chiều, gầy sút, mệt mỏi, vã mồ hôi đêm",Hô hấp
Lao phổi,"ho mạn tính, sụt cân không rõ nguyên nhân, sốt nhẹ, ra mồ hôi đêm",Hô hấp
COPD,"khó thở khi gắng sức, ho mạn tính, đờm nhiều, tức ngực, thở khò khè",Hô hấp
COPD,"ho đờm mạn tính, khó thở tăng dần, thở khò khè, ngực tức",Hô hấp
COPD,"khó thở, ho có đờm kéo dài, thở khò khè khi gắng sức",Hô hấp
COPD,"ho mạn tính, khó thở, đờm nhiều, tức ngực",Hô hấp
COPD,"ho đờm, khó thở tiến triển, thở khò khè, mệt mỏi",Hô hấp
